#Year	RunNumber	Temperature(K)	TemperatureError(K)	Field(T)	FieldError(T)	Energy(keV)	EnergyError(keV)	Rate(1/s)	RateError(1/s)	Exponent(-)	ExponentError(-)	AvgRate(1/s)	AvgRateError(1/s)
2013	45510	8.6091910995	0.0108841489	0.0200143508	0.0000175000	19.9316847570	0.0005622722	8.8169480044	0.1644310107	0.6179091430	0.0055113237	6.0823757699	0.0569560532
2013	45511	8.7156785714	0.0076596759	0.0200143508	0.0000175000	19.9307697402	0.0007516124	8.2953547465	0.2182869118	0.5893219440	0.0070814124	5.3836713889	0.1074862014
2013	45512	8.7148135198	0.0071051978	0.0200143770	0.0000176082	19.9313500090	0.0005379559	7.3571265558	0.1313804192	0.6748522898	0.0066409078	5.6052215550	0.0520133557
2013	45513	8.9270930233	0.0080408982	0.0200143848	0.0000176226	19.9313775678	0.0006827105	8.0901042619	0.1518425928	0.6074004287	0.0053211809	5.4625282043	0.0520982129
2013	45514	9.3320447368	0.0072078526	0.0200143824	0.0000176184	19.9315946513	0.0006049281	8.1477625186	0.1511932924	0.6375251601	0.0058757540	5.8340299643	0.0551678375
2013	45515	3.5345680000	0.0157524309	0.0200143508	0.0000175000	19.9318658369	0.0008436186	22.1215987211	0.6560324956	0.4865590443	0.0080168729	10.5047324318	0.1431813699
2013	45516	3.5126281513	0.0017836584	0.0200143508	0.0000175000	17.9335843887	0.0008995981	17.6468193528	0.3988926552	0.5339216879	0.0060292822	9.8889774231	0.1260335817
2013	45517	3.5101698630	0.0019410746	0.0200143938	0.0000176360	15.9333356323	0.0004364864	17.0275801073	0.3820805281	0.5188631901	0.0050775853	9.0950345008	0.0957126554
2013	45518	3.5082708934	0.0015733841	0.0200143804	0.0000176147	13.9334844801	0.0007586867	15.1551752658	0.3841780076	0.5386638989	0.0085321892	8.6151085476	0.1067043203
2013	45519	3.5068699187	0.0015568642	0.0200143726	0.0000176002	11.9344179778	0.0002986332	12.5784985102	0.2953393615	0.5840642159	0.0090034209	8.0644223775	0.0977997175
2013	45520	3.5059856734	0.0016634409	0.0200143508	0.0000175000	9.9334621879	0.0007409385	11.1955156672	0.2244535963	0.6017073459	0.0065346207	7.4685027504	0.0761918814
2013	45521	3.5051711027	0.0014584583	0.0200143707	0.0000175958	7.9336327923	0.0006480201	9.8028190355	0.2061998024	0.6477310255	0.0106461912	7.1469454189	0.0796129148
2013	45522	3.5044705882	0.0014641295	0.0200143661	0.0000175838	5.9337684708	0.0003555896	8.8226701908	0.1614229439	0.6720780040	0.0065129636	6.6932410673	0.0641016495
2013	45523	3.5041026393	0.0016064279	0.0200144273	0.0000176741	3.9339340632	0.0007422092	8.8574737980	0.1738019484	0.6587805188	0.0092777509	6.5789414185	0.0686365146
2013	45524	3.5037857143	0.0016082094	0.0200144242	0.0000176718	1.9335130606	0.0003987456	10.3196281649	0.2022170687	0.6810851151	0.0099023629	7.9362820268	0.0867132350
2013	45525	3.5032547771	0.0014538896	0.0200144358	0.0000176818	0.9330163910	0.0005332960	14.3159548471	0.3465534941	0.4906092092	0.0055889488	6.9075382561	0.0785657086
2013	45526	3.5018433735	0.0014726668	0.0200143666	0.0000175853	2.4326331116	0.0007786774	9.6995559922	0.1903798892	0.6765775658	0.0099484954	7.4092469900	0.0764397628
2013	45527	3.5018531250	0.0014275578	0.0200143836	0.0000176204	1.4333968887	0.0004992639	11.9350307744	0.2416802357	0.5950513010	0.0065310353	7.8466580457	0.0827796741
2013	45529	3.5052097701	0.0017672059	0.0200144990	0.0000178432	19.9302949214	0.0009392316	19.2221595652	0.4593308714	0.5068696894	0.0059932106	9.8530817394	0.1202862863
2013	45530	4.2467352941	0.0114696404	0.0200147420	0.0000176663	19.9312167876	0.0003780776	19.9059673457	0.4896830487	0.5031674190	0.0063914508	10.0689738872	0.1267620683
2013	45531	5.2084086687	0.0107214963	0.0200143508	0.0000175000	19.9313692507	0.0004462313	19.4910825931	0.4667047194	0.5242983941	0.0068609056	10.5975694506	0.1329672711
2013	45532	11.8541588235	0.0151921249	0.0200143508	0.0000175000	17.9330416364	0.0006250873	8.9716127530	0.1723073233	0.5995425436	0.0051703460	5.9569591379	0.0601415965
2013	45533	11.8555570934	0.0155761244	0.0200143508	0.0000175000	14.9334189590	0.0005932256	9.5455076690	0.1862438792	0.5761084052	0.0048426362	6.0041615286	0.0582209586
2013	45534	11.8554551724	0.0164875876	0.0200143508	0.0000175000	11.9340986221	0.0004712357	9.6679675898	0.1899577379	0.5707409678	0.0047252372	6.0006990054	0.0591423741
2013	45535	11.8562696629	0.0166569302	0.0200143508	0.0000175000	8.9334010073	0.0001910025	10.6842764126	0.2187854888	0.5383661711	0.0043991486	6.0681929553	0.0613281754
2013	45536	11.8556559140	0.0148240238	0.0200143699	0.0000175937	5.9330047582	0.0007059146	10.3164018382	0.2269537813	0.5749730304	0.0077193978	6.4709903660	0.0737131829
2013	45537	11.8547204301	0.0162399048	0.0200143508	0.0000175000	2.9331776148	0.0003384211	11.9816475454	0.2692442815	0.5609853215	0.0075613515	7.2518187373	0.0845435536
2013	45538	11.8567518797	0.0165797813	0.0200143508	0.0000175000	1.9327403132	0.0007596539	13.4814806502	0.3312657605	0.5380977466	0.0077680277	7.6507454089	0.0930908075
2013	45539	11.8554453125	0.0147880761	0.0200143716	0.0000175979	0.9329269846	0.0003929084	16.5721474213	0.5017458475	0.4527356947	0.0070473541	6.7769042795	0.1037475910
2013	45540	8.1857388535	0.0088730100	0.0200139518	0.0000181384	19.9296256343	0.0037382483	10.6530024816	0.2305426785	0.6232880338	0.0094343714	7.4270206644	0.0839722256
2013	45541	8.5055984556	0.0093560575	0.0200143508	0.0000175000	19.9313773751	0.0002639078	8.7083635266	0.1606912808	0.6572190746	0.0062936137	6.4515827707	0.0637407649
2013	45542	8.7181891892	0.0083957687	0.0200143508	0.0000175000	19.9312543374	0.0008419485	8.0896440812	0.1524297570	0.6332745727	0.0058798189	5.7475392208	0.0565288007
2013	45543	8.9291162791	0.0078865028	0.0200143508	0.0000175000	19.9315905451	0.0002388415	7.7645348133	0.1483079690	0.6275009136	0.0058395342	5.4571924734	0.0563766085
2013	45544	8.8212343750	0.0079064255	0.0200132423	0.0000183844	19.9312407010	0.0004966191	7.6437267864	0.1478688954	0.6305854575	0.0060309222	5.4036263368	0.0592263995
